STATION_NUMBER,STATION_NAME,PROV_TERR_STATE_LOC,HYD_STATUS,REAL_TIME,LATITUDE,LONGITUDE,station_tz,standard_offset,OlsonName
01AR009,GRAND LAKE AT FOREST CITY,NB,ACTIVE,TRUE,45.66489,-67.73589,America/New_York,-5,Etc/GMT+5
01AR010,SPEDNIC LAKE AT ST. CROIX,NB,ACTIVE,TRUE,45.56922,-67.42725,America/Moncton,-4,Etc/GMT+4
01AR011,FOREST CITY STREAM BELOW FOREST CITY DAM,NB,ACTIVE,TRUE,45.66417,-67.73356,America/New_York,-5,Etc/GMT+5
01AR013,GRAND FALLS FLOWAGE AT GRAND FALLS,NB,ACTIVE,TRUE,45.2745,-67.49636,America/New_York,-5,Etc/GMT+5
01AR014,ST. CROIX RIVER AT MILLTOWN DAM,NB,ACTIVE,TRUE,45.17522,-67.2929,America/Moncton,-4,Etc/GMT+4
01BC001,RESTIGOUCHE RIVER BELOW KEDGWICK RIVER,NB,ACTIVE,TRUE,47.66708,-67.48308,America/Moncton,-4,Etc/GMT+4
01BE001,UPSALQUITCH RIVER AT UPSALQUITCH,NB,ACTIVE,TRUE,47.83247,-66.88708,America/Moncton,-4,Etc/GMT+4
01BJ003,JACQUET RIVER NEAR DURHAM CENTRE,NB,ACTIVE,TRUE,47.89381,-66.02522,America/Moncton,-4,Etc/GMT+4
01BJ007,RESTIGOUCHE RIVER ABOVE RAFTING GROUND BROOK,NB,ACTIVE,TRUE,47.90867,-66.94806,America/Moncton,-4,Etc/GMT+4
01BJ010,MIDDLE RIVER NEAR BATHURST,NB,ACTIVE,TRUE,47.60839,-65.72181,America/Moncton,-4,Etc/GMT+4
01BJ012,EEL RIVER NEAR DUNDEE,NB,ACTIVE,TRUE,47.98789,-66.49061,America/Moncton,-4,Etc/GMT+4
01BL002,RIVIERE CARAQUET AT BURNSVILLE,NB,ACTIVE,TRUE,47.70561,-65.15539,America/Moncton,-4,Etc/GMT+4
01BL003,BIG TRACADIE RIVER AT MURCHY BRIDGE CROSSING,NB,ACTIVE,TRUE,47.43578,-65.10606,America/Moncton,-4,Etc/GMT+4
01BP001,LITTLE SOUTHWEST MIRAMICHI RIVER AT LYTTLETON,NB,ACTIVE,TRUE,46.93597,-65.90739,America/Moncton,-4,Etc/GMT+4
01BP002,CATAMARAN BROOK AT REPAP ROAD BRIDGE,NB,ACTIVE,TRUE,46.85656,-66.19011,America/Moncton,-4,Etc/GMT+4
01BQ001,NORTHWEST MIRAMICHI RIVER AT TROUT BROOK,NB,ACTIVE,TRUE,47.09475,-65.8365,America/Moncton,-4,Etc/GMT+4
01BS001,COAL BRANCH RIVER AT BEERSVILLE,NB,ACTIVE,TRUE,46.44394,-65.064940000000007,America/Moncton,-4,Etc/GMT+4
01BU002,PETITCODIAC RIVER NEAR PETITCODIAC,NB,ACTIVE,TRUE,45.94639,-65.16819,America/Moncton,-4,Etc/GMT+4
01BU009,HOLMES BROOK SITE NO. 9 NEAR PETITCODIAC,NB,ACTIVE,TRUE,45.88786,-65.14678,America/Moncton,-4,Etc/GMT+4
01BV006,POINT WOLFE RIVER AT FUNDY NATIONAL PARK,NB,ACTIVE,TRUE,45.55856,-65.01597,America/Moncton,-4,Etc/GMT+4
01CA003,CARRUTHERS BROOK NEAR ST. ANTHONY,PE,ACTIVE,TRUE,46.74411,-64.187,America/Halifax,-4,Etc/GMT+4
01CB002,DUNK RIVER AT WALL ROAD,PE,ACTIVE,TRUE,46.34586,-63.63333,America/Halifax,-4,Etc/GMT+4
01CB004,WILMOT RIVER NEAR WILMOT VALLEY,PE,ACTIVE,TRUE,46.39331,-63.65939,America/Halifax,-4,Etc/GMT+4
01CB018,BARBARA WEIT STREAM AT CAVENDISH FARM,PE,ACTIVE,TRUE,46.4275,-63.68042,America/Halifax,-4,Etc/GMT+4
01CC002,WINTER RIVER NEAR SUFFOLK,PE,ACTIVE,TRUE,46.33206,-63.06547,America/Halifax,-4,Etc/GMT+4
01CC005,WEST RIVER AT RIVERDALE,PE,ACTIVE,TRUE,46.23139,-63.35108,America/Halifax,-4,Etc/GMT+4
01CC010,WINTER RIVER AT UNION,PE,ACTIVE,TRUE,46.31481,-63.12336,America/Halifax,-4,Etc/GMT+4
01CC011,COLES CREEK AT MILTONVALE PUMPING STATION,PE,ACTIVE,TRUE,46.31025,-63.19489,America/Halifax,-4,Etc/GMT+4
01CD005,BEAR RIVER AT ST. MARGARETS,PE,ACTIVE,TRUE,46.45314,-62.38233,America/Halifax,-4,Etc/GMT+4
01DC005,ANNAPOLIS RIVER AT WILMOT,NS,ACTIVE,TRUE,44.94919,-65.02939,America/Halifax,-4,Etc/GMT+4
01DC007,ANNAPOLIS RIVER AT LAWRENCETOWN,NS,ACTIVE,TRUE,44.88083,-65.15792,America/Halifax,-4,Etc/GMT+4
01DD002,CORNWALLIS RIVER AT CAMBRIDGE STATION,NS,ACTIVE,TRUE,45.06478,-64.63533,America/Halifax,-4,Etc/GMT+4
01DD005,NORTH BROOK AT SHEFFIELD MILLS,NS,ACTIVE,TRUE,45.15056,-64.475,America/Halifax,-4,Etc/GMT+4
01DG003,BEAVERBANK RIVER NEAR KINSAC,NS,ACTIVE,TRUE,44.85111,-63.66389,America/Halifax,-4,Etc/GMT+4
01DG043,ST ANDREWS RIVER AT STEWIACKE,NS,ACTIVE,TRUE,45.12306,-63.34975,America/Halifax,-4,Etc/GMT+4
01DH002,SALMON RIVER AT MURRAY,NS,ACTIVE,TRUE,45.36917,-63.21544,America/Halifax,-4,Etc/GMT+4
01DH004,NORTH RIVER AT NORTH RIVER,NS,ACTIVE,TRUE,45.42556,-63.25472,America/Halifax,-4,Etc/GMT+4
01DH006,MCCLURES BROOK AT COBEQUID TRAIL,NS,ACTIVE,TRUE,45.35883,-63.29589,America/Halifax,-4,Etc/GMT+4
01DJ005,GREAT VILLAGE RIVER NEAR SCRABBLE HILL,NS,ACTIVE,TRUE,45.43822,-63.598,America/Halifax,-4,Etc/GMT+4
01DL001,KELLEY RIVER (MILL CREEK) AT EIGHT MILE FORD,NS,ACTIVE,TRUE,45.58681,-64.45069,America/Halifax,-4,Etc/GMT+4
01DP004,MIDDLE RIVER OF PICTOU AT ROCKLIN,NS,ACTIVE,TRUE,45.49739,-62.78019,America/Halifax,-4,Etc/GMT+4
01DR001,SOUTH RIVER AT ST. ANDREWS,NS,ACTIVE,TRUE,45.55972,-61.90364,America/Halifax,-4,Etc/GMT+4
01EA003,TUSKET RIVER AT WILSON'S BRIDGE,NS,ACTIVE,TRUE,43.92481,-65.86853,America/Halifax,-4,Etc/GMT+4
01EC001,ROSEWAY RIVER AT LOWER OHIO,NS,ACTIVE,TRUE,43.83736,-65.36911,America/Halifax,-4,Etc/GMT+4
01ED005,MERSEY RIVER BELOW GEORGE LAKE,NS,ACTIVE,TRUE,44.33314,-65.20508,America/Halifax,-4,Etc/GMT+4
01ED007,MERSEY RIVER BELOW MILL FALLS,NS,ACTIVE,TRUE,44.43678,-65.22186,America/Halifax,-4,Etc/GMT+4
01ED013,SHELBURNE RIVER AT POLLARD'S FALLS BRIDGE,NS,ACTIVE,TRUE,44.21542,-65.24142,America/Halifax,-4,Etc/GMT+4
01EE005,MOOSE PIT BROOK AT TUPPER LAKE,NS,ACTIVE,TRUE,44.46183,-65.04778,America/Halifax,-4,Etc/GMT+4
01EF001,LAHAVE RIVER AT WEST NORTHFIELD,NS,ACTIVE,TRUE,44.44744,-64.59119,America/Halifax,-4,Etc/GMT+4
01EJ001,SACKVILLE RIVER AT BEDFORD,NS,ACTIVE,TRUE,44.73153,-63.66044,America/Halifax,-4,Etc/GMT+4
01EJ004,LITTLE SACKVILLE RIVER AT MIDDLE SACKVILLE,NS,ACTIVE,TRUE,44.76447,-63.6875,America/Halifax,-4,Etc/GMT+4
01EO001,ST. MARYS RIVER AT STILLWATER,NS,ACTIVE,TRUE,45.17439,-61.97992,America/Halifax,-4,Etc/GMT+4
01FA001,RIVER INHABITANTS AT GLENORA,NS,ACTIVE,TRUE,45.72025,-61.28611,America/Halifax,-4,Etc/GMT+4
01FB001,NORTHEAST MARGAREE RIVER AT MARGAREE VALLEY,NS,ACTIVE,TRUE,46.36897,-60.97528,America/Halifax,-4,Etc/GMT+4
01FB003,SOUTHWEST MARGAREE RIVER NEAR UPPER MARGAREE,NS,ACTIVE,TRUE,46.22311,-61.13692,America/Halifax,-4,Etc/GMT+4
01FC002,CHETICAMP RIVER ABOVE ROBERT BROOK,NS,ACTIVE,TRUE,46.64158,-60.94611,America/Halifax,-4,Etc/GMT+4
01FE002,INDIAN BROOK AT INDIAN BROOK,NS,ACTIVE,TRUE,46.37172,-60.53369,America/Halifax,-4,Etc/GMT+4
01FF001,MIDDLE RIVER AT MACLENNANS CROSS,NS,ACTIVE,TRUE,46.19,-60.94181,America/Halifax,-4,Etc/GMT+4
01FG001,RIVER DENYS AT BIG MARSH,NS,ACTIVE,TRUE,45.89369,-61.20475,America/Halifax,-4,Etc/GMT+4
01FJ002,MACASKILLS BROOK NEAR BIRCH GROVE,NS,ACTIVE,TRUE,46.11789,-60.00467,America/Glace_Bay,-4,Etc/GMT+4
02AB006,KAMINISTIQUIA RIVER AT KAMINISTIQUIA,ON,ACTIVE,TRUE,48.53231,-89.595,America/Toronto,-5,Etc/GMT+5
02AB008,NEEBING RIVER NEAR THUNDER BAY,ON,ACTIVE,TRUE,48.38339,-89.30656,America/Thunder_Bay,-5,Etc/GMT+5
02AB014,NORTH CURRENT RIVER NEAR THUNDER BAY,ON,ACTIVE,TRUE,48.51956,-89.17503,America/Toronto,-5,Etc/GMT+5
02AB017,WHITEFISH RIVER AT NOLALU,ON,ACTIVE,TRUE,48.29211,-89.80986,America/Toronto,-5,Etc/GMT+5
02AB019,MCVICAR CREEK AT THUNDER BAY,ON,ACTIVE,TRUE,48.4492,-89.21861,America/Thunder_Bay,-5,Etc/GMT+5
02AB020,MCINTYRE RIVER ABOVE THUNDER BAY,ON,ACTIVE,TRUE,48.48269,-89.32464,America/Thunder_Bay,-5,Etc/GMT+5
02AB021,CURRENT RIVER AT STEPSTONE,ON,ACTIVE,TRUE,48.56244,-89.24067,America/Toronto,-5,Etc/GMT+5
02AB022,CORBETT CREEK NEAR MURILLO,ON,ACTIVE,TRUE,48.42862,-89.545632,America/Toronto,-5,Etc/GMT+5
02AB023,SLATE RIVER NEAR THUNDER BAY,ON,ACTIVE,TRUE,48.32576,-89.40421,America/Toronto,-5,Etc/GMT+5
02AB024,NEEBING RIVER NEAR INTOLA,ON,ACTIVE,TRUE,48.44281,-89.35776,America/Thunder_Bay,-5,Etc/GMT+5
02AB025,KAMINISTIQUIA RIVER AT WEST FORT WILLIAM,ON,ACTIVE,TRUE,48.34786,-89.35328,America/Thunder_Bay,-5,Etc/GMT+5
02AB026,KAMINISTIQUIA RIVER ABOVE WEST FORT WILLIAM,ON,ACTIVE,TRUE,48.34611,-89.38619,America/Thunder_Bay,-5,Etc/GMT+5
02AB027,WHITEFISH RIVER NEAR STANLEY,ON,ACTIVE,TRUE,48.3593,-89.60352,America/Toronto,-5,Etc/GMT+5
02AC001,WOLF RIVER AT HIGHWAY NO. 17,ON,ACTIVE,TRUE,48.82169,-88.53461,America/Toronto,-5,Etc/GMT+5
02AC002,BLACK STURGEON RIVER AT HIGHWAY NO. 17,ON,ACTIVE,TRUE,48.90422,-88.37686,America/Toronto,-5,Etc/GMT+5
02AD010,BLACKWATER RIVER AT BEARDMORE,ON,ACTIVE,TRUE,49.59761,-87.96544,America/Toronto,-5,Etc/GMT+5
02AD012,NIPIGON RIVER BELOW ALEXANDER GENERATING STATION,ON,ACTIVE,TRUE,49.1227,-88.35787,America/Toronto,-5,Etc/GMT+5
02AE001,GRAVEL RIVER NEAR CAVERS,ON,ACTIVE,TRUE,48.926,-87.69019,America/Toronto,-5,Etc/GMT+5
02BA003,LITTLE PIC RIVER NEAR COLDWELL,ON,ACTIVE,TRUE,48.84911,-86.607223,America/Toronto,-5,Etc/GMT+5
02BA005,WHITESAND RIVER ABOVE SCHREIBER AT MINOVA MINE,ON,ACTIVE,TRUE,48.97811,-87.37678,America/Toronto,-5,Etc/GMT+5
02BA006,STEEL RIVER BELOW SANTOY LAKE,ON,ACTIVE,TRUE,48.81371,-86.859337,America/Toronto,-5,Etc/GMT+5
02BB003,PIC RIVER NEAR MARATHON,ON,ACTIVE,TRUE,48.77408,-86.29661,America/Toronto,-5,Etc/GMT+5
02BB004,CEDAR CREEK NEAR HEMLO,ON,ACTIVE,TRUE,48.70542,-85.90794,America/Toronto,-5,Etc/GMT+5
02BC006,PUKASKWA RIVER BELOW FOX RIVER,ON,ACTIVE,TRUE,48.16039,-85.73092,America/Toronto,-5,Etc/GMT+5
02BC007,WHITE LAKE AT WHITE LAKE PROVINCIAL PARK,ON,ACTIVE,TRUE,48.69289,-85.64214,America/Toronto,-5,Etc/GMT+5
02BC008,WHITE RIVER ABOVE OSKABUKUTA RIVER,ON,ACTIVE,TRUE,48.58783,-85.89128,America/Toronto,-5,Etc/GMT+5
02BD005,MAGPIE RIVER AT ESNAGI LAKE,ON,ACTIVE,TRUE,48.48044,-84.53269,America/Toronto,-5,Etc/GMT+5
02BD006,WAWA CREEK AT WAWA,ON,ACTIVE,TRUE,47.98939,-84.76811,America/Toronto,-5,Etc/GMT+5
02BD007,MAGPIE RIVER NEAR WAWA,ON,ACTIVE,TRUE,48.02203,-84.81317,America/Toronto,-5,Etc/GMT+5
02BF001,BATCHAWANA RIVER NEAR BATCHAWANA,ON,ACTIVE,TRUE,47.00353,-84.51556,America/Toronto,-5,Etc/GMT+5
02BF002,GOULAIS RIVER NEAR SEARCHMONT,ON,ACTIVE,TRUE,46.86094,-83.97181,America/Toronto,-5,Etc/GMT+5
02BF004,BIG CARP RIVER NEAR SAULT STE. MARIE,ON,ACTIVE,TRUE,46.51589,-84.46518,America/Toronto,-5,Etc/GMT+5
02BF014,GOULAIS RIVER NEAR KIRBY'S CORNER,ON,ACTIVE,TRUE,46.71739,-84.28478,America/Toronto,-5,Etc/GMT+5
02CA002,ROOT RIVER AT SAULT STE. MARIE,ON,ACTIVE,TRUE,46.56286,-84.28169,America/Toronto,-5,Etc/GMT+5
02CA003,ST. MARYS RIVER NEAR GARDEN RIVER,ON,ACTIVE,TRUE,46.53258,-84.13125,America/Toronto,-5,Etc/GMT+5
02CA007,THESSALON RIVER NEAR POPLAR DALE,ON,ACTIVE,TRUE,46.53047,-83.70961,America/Toronto,-5,Etc/GMT+5
02CB003,AUBINADONG RIVER ABOVE SESABIC CREEK,ON,ACTIVE,TRUE,46.96842,-83.41686,America/Toronto,-5,Etc/GMT+5
02CC005,LITTLE WHITE RIVER NEAR BELLINGHAM,ON,ACTIVE,TRUE,46.39395,-83.28298,America/Toronto,-5,Etc/GMT+5
02CC010,LITTLE WHITE RIVER BELOW BOLAND RIVER,ON,ACTIVE,TRUE,46.58114,-82.968,America/Toronto,-5,Etc/GMT+5
02CD001,SERPENT RIVER AT HIGHWAY NO. 17,ON,ACTIVE,TRUE,46.21078,-82.51242,America/Toronto,-5,Etc/GMT+5
02CD006,SERPENT RIVER ABOVE QUIRKE LAKE,ON,ACTIVE,TRUE,46.51158,-82.60028,America/Toronto,-5,Etc/GMT+5
02CE002,AUX SABLES RIVER AT MASSEY,ON,ACTIVE,TRUE,46.21494,-82.07081,America/Toronto,-5,Etc/GMT+5
02CE007,MINISTIC CREEK ABOVE AGNEW LAKE,ON,ACTIVE,TRUE,46.42957,-81.60033,America/Toronto,-5,Etc/GMT+5
02CF005,JUNCTION CREEK AT SUDBURY,ON,ACTIVE,TRUE,46.47872,-81.01042,America/Toronto,-5,Etc/GMT+5
02CF007,WHITSON RIVER AT CHELMSFORD,ON,ACTIVE,TRUE,46.58336,-81.19911,America/Toronto,-5,Etc/GMT+5
02CF008,WHITSON RIVER AT VAL CARON,ON,ACTIVE,TRUE,46.61017,-81.03297,America/Toronto,-5,Etc/GMT+5
02CF010,ONAPING RIVER NEAR LEVACK,ON,ACTIVE,TRUE,46.5995,-81.38197,America/Toronto,-5,Etc/GMT+5
02CF011,VERMILION RIVER NEAR VAL CARON,ON,ACTIVE,TRUE,46.68544,-81.00925,America/Toronto,-5,Etc/GMT+5
02CF012,JUNCTION CREEK BELOW KELLEY LAKE,ON,ACTIVE,TRUE,46.42731,-81.09844,America/Toronto,-5,Etc/GMT+5
02CF013,MOOSE CREEK AT LEVACK,ON,ACTIVE,TRUE,46.63594,-81.39147,America/Toronto,-5,Etc/GMT+5
02CF014,VERMILION RIVER NEAR MILNET,ON,ACTIVE,TRUE,46.81944,-80.95714,America/Toronto,-5,Etc/GMT+5
02CG003,BLUE JAY CREEK NEAR TEHKUMMAH,ON,ACTIVE,TRUE,45.65169,-81.98661,America/Toronto,-5,Etc/GMT+5
02CG005,MINDEMOYA LAKE AT MINDEMOYA,ON,ACTIVE,TRUE,45.74989,-82.18489,America/Toronto,-5,Etc/GMT+5
02CH001,FROOD LAKE NEAR WHITEFISH FALLS,ON,ACTIVE,TRUE,46.11861,-81.72839,America/Toronto,-5,Etc/GMT+5
02CH002,PANACHE LAKE AT JACKSON'S POINT,ON,ACTIVE,TRUE,46.27358,-81.34458,America/Toronto,-5,Etc/GMT+5
02DB005,WANAPITEI RIVER NEAR WANUP,ON,ACTIVE,TRUE,46.34567,-80.83956,America/Toronto,-5,Etc/GMT+5
02DB007,CONISTON CREEK ABOVE WANAPITEI RIVER,ON,ACTIVE,TRUE,46.47528,-80.82153,America/Toronto,-5,Etc/GMT+5
02DC004,STURGEON RIVER NEAR GLEN AFTON,ON,ACTIVE,TRUE,46.63717,-80.26325,America/Toronto,-5,Etc/GMT+5
02DC012,STURGEON RIVER AT UPPER GOOSE FALLS,ON,ACTIVE,TRUE,46.97025,-80.45878,America/Toronto,-5,Etc/GMT+5
02DC013,LITTLE STURGEON RIVER BELOW BOOTH LAKE,ON,ACTIVE,TRUE,46.42761,-79.66203,America/Toronto,-5,Etc/GMT+5
02DD006,LAKE NIPISSING AT NORTH BAY,ON,ACTIVE,TRUE,46.31183,-79.47381,America/Toronto,-5,Etc/GMT+5
02DD010,FRENCH RIVER AT DRY PINE BAY,ON,ACTIVE,TRUE,46.06858,-80.61164,America/Toronto,-5,Etc/GMT+5
02DD012,VEUVE RIVER NEAR VERNER,ON,ACTIVE,TRUE,46.40819,-80.12281,America/Toronto,-5,Etc/GMT+5
02DD013,LA VASE RIVER AT NORTH BAY,ON,ACTIVE,TRUE,46.26344,-79.39511,America/Toronto,-5,Etc/GMT+5
02DD014,CHIPPEWA CREEK AT NORTH BAY,ON,ACTIVE,TRUE,46.31178,-79.44836,America/Toronto,-5,Etc/GMT+5
02DD015,COMMANDA CREEK NEAR COMMANDA,ON,ACTIVE,TRUE,45.94919,-79.60658,America/Toronto,-5,Etc/GMT+5
02DD016,FRENCH RIVER AT PORTAGE DAM,ON,ACTIVE,TRUE,46.1205,-80.01808,America/Toronto,-5,Etc/GMT+5
02DD017,FRENCH RIVER AT CHAUDIERE DAM,ON,ACTIVE,TRUE,46.12083,-80.0275,America/Toronto,-5,Etc/GMT+5
02DD020,LITTLE FRENCH RIVER AT OKIKENDAWT ISLAND,ON,ACTIVE,TRUE,46.12314,-80.07911,America/Toronto,-5,Etc/GMT+5
02DD021,LAKE NIPISSING AT FRENCH RIVER OUTLET,ON,ACTIVE,TRUE,46.12553,-80.01231,America/Toronto,-5,Etc/GMT+5
02DD022,DOLLARS LAKE BELOW S NARROWS,ON,ACTIVE,TRUE,45.92039,-80.24175,America/Toronto,-5,Etc/GMT+5
02DD023,FOREST LAKE AT SOUTH RIVER,ON,ACTIVE,TRUE,45.83969,-79.35692,America/Toronto,-5,Etc/GMT+5
02DD024,WASI RIVER NEAR ASTORVILLE,ON,ACTIVE,TRUE,46.17842,-79.30989,America/Toronto,-5,Etc/GMT+5
02DD025,FRENCH RIVER AT HARTLEY BAY,ON,ACTIVE,TRUE,46.03522,-80.76011,America/Toronto,-5,Etc/GMT+5
02DD026,FRENCH RIVER AT WOLSELEY BAY,ON,ACTIVE,TRUE,46.10572,-80.26528,America/Toronto,-5,Etc/GMT+5
02EA005,NORTH MAGNETAWAN RIVER NEAR BURK'S FALLS,ON,ACTIVE,TRUE,45.66947,-79.37919,America/Toronto,-5,Etc/GMT+5
02EA010,NORTH MAGNETAWAN RIVER ABOVE PICKEREL LAKE,ON,ACTIVE,TRUE,45.70377,-79.30879,America/Toronto,-5,Etc/GMT+5
02EA011,MAGNETAWAN RIVER NEAR BRITT,ON,ACTIVE,TRUE,45.77306,-80.48233,America/Toronto,-5,Etc/GMT+5
02EA015,CECEBE LAKE AT MAGNETAWAN,ON,ACTIVE,TRUE,45.66497,-79.64097,America/Toronto,-5,Etc/GMT+5
02EA016,DOE LAKE NEAR KATRINE,ON,ACTIVE,TRUE,45.57195,-79.36685,America/Toronto,-5,Etc/GMT+5
02EA018,MAGNETAWAN RIVER NEAR EMSDALE,ON,ACTIVE,TRUE,45.5567,-79.28798,America/Toronto,-5,Etc/GMT+5
02EA019,AHMIC LAKE NEAR AHMIC HARBOUR,ON,ACTIVE,TRUE,45.66907,-79.74521,America/Toronto,-5,Etc/GMT+5
02EA020,BERNARD LAKE AT SUNDRIDGE,ON,ACTIVE,TRUE,45.718,-79.41733,America/Toronto,-5,Etc/GMT+5
02EA021,SHAWANAGA RIVER BELOW SHAWANAGA LAKE,ON,ACTIVE,TRUE,45.55894,-80.03797,America/Toronto,-5,Etc/GMT+5
02EB004,NORTH BRANCH MUSKOKA RIVER AT PORT SYDNEY,ON,ACTIVE,TRUE,45.21286,-79.27528,America/Toronto,-5,Etc/GMT+5
02EB008,SOUTH BRANCH MUSKOKA RIVER AT BAYSVILLE,ON,ACTIVE,TRUE,45.14797,-79.1135,America/Toronto,-5,Etc/GMT+5
02EB011,MOON RIVER AT HIGHWAY NO. 400,ON,ACTIVE,TRUE,45.06506,-79.79014,America/Toronto,-5,Etc/GMT+5
02EB012,MUSQUASH RIVER AT HIGHWAY NO. 400,ON,ACTIVE,TRUE,45.02253,-79.77681,America/Toronto,-5,Etc/GMT+5
02EB013,BIG EAST RIVER NEAR HUNTSVILLE,ON,ACTIVE,TRUE,45.39272,-79.15994,America/Toronto,-5,Etc/GMT+5
02EB014,OXTONGUE RIVER NEAR DWIGHT,ON,ACTIVE,TRUE,45.31197,-78.98939,America/Toronto,-5,Etc/GMT+5
02EB015,BALA BAY AT BALA,ON,ACTIVE,TRUE,45.01314,-79.61353,America/Toronto,-5,Etc/GMT+5
